precipitation_sum,et0_fao_evapotranspiration,precipitation_hours,river_discharge,dewpoint_2m_max,soil_moisture_0_to_7cm,soil_moisture_28_to_100cm,rainfall_3d,rainfall_7d,humidity,is_monsoon,flood_risk
0.0,3.92,0.0,0.2,12.5,0.232,0.3570416666666666,0.0,0.0,28.0,0,0
0.0,4.2,0.0,0.2,11.9,0.231625,0.3555833333333333,0.0,0.0,25.00000000000001,0,0
0.0,3.71,0.0,0.23,11.7,0.231,0.3545416666666667,0.0,0.0,26.0,0,0
0.0,3.26,0.0,0.25,11.7,0.2315416666666666,0.3535416666666666,0.0,0.0,31.0,0,0
0.0,3.97,0.0,0.25,11.0,0.232,0.3525416666666667,0.0,0.0,24.0,0,0
0.0,3.87,0.0,0.25,10.4,0.2314583333333333,0.3515,0.0,0.0,24.0,0,0
0.0,4.04,0.0,0.25,11.6,0.231,0.3505,0.0,0.0,26.0,0,0
0.0,4.61,0.0,0.25,9.5,0.231,0.3490416666666666,0.0,0.0,7.5,0,0
0.0,4.5,0.0,0.25,13.4,0.2305,0.3475416666666666,0.0,0.0,22.0,0,0
0.0,4.64,0.0,0.25,13.0,0.23,0.3465,0.0,0.0,17.5,0,0
0.4,4.38,2.0,0.25,14.0,0.2324166666666667,0.3454583333333332,0.4,0.4,29.0,0,0
0.0,4.14,0.0,0.25,12.9,0.2340833333333333,0.3444583333333333,0.4,0.4,31.5,0,0
3.8,2.67,10.0,0.28,17.3,0.2506666666666666,0.3435416666666666,4.2,4.2,68.5,0,0
1.6,3.52,5.0,0.31,17.7,0.2731666666666667,0.343,5.4,5.8,54.49999999999999,0,0
0.0,3.75,0.0,0.31,17.0,0.273,0.3424583333333333,5.4,5.8,53.5,0,0
0.0,4.03,0.0,0.28,15.0,0.267375,0.3415000000000001,1.6,5.8,38.5,0,0
0.0,4.54,0.0,0.28,14.3,0.2605416666666666,0.3404583333333333,0.0,5.8,28.5,0,0
0.0,4.85,0.0,0.28,12.1,0.2542083333333333,0.3391666666666666,0.0,5.4,17.0,0,0
0.0,4.59,0.0,0.28,15.1,0.2487916666666666,0.3379166666666667,0.0,5.4,39.99999999999999,0,0
0.0,4.8,0.0,0.28,7.7,0.244125,0.336625,0.0,1.6,6.5,0,0
0.0,4.86,0.0,0.25,7.0,0.2405833333333333,0.3355833333333333,0.0,0.0,0.0,0,0
0.0,4.93,0.0,0.25,8.9,0.2375416666666666,0.3345416666666667,0.0,0.0,0.0,0,0
