soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,soil_moisture_28_to_100cm,time
0.2985833333333333,0.34158333333333335,0.3915416666666667,2010-01-01
0.29216666666666663,0.3390416666666667,0.39045833333333335,2010-01-02
0.28633333333333333,0.33645833333333336,0.389125,2010-01-03
0.28070833333333334,0.33404166666666674,0.38762500000000005,2010-01-04
0.27625000000000005,0.331625,0.38658333333333333,2010-01-05
0.27225000000000005,0.329125,0.38554166666666667,2010-01-06
0.26829166666666665,0.32708333333333334,0.3845,2010-01-07
0.264875,0.3250416666666667,0.3835,2010-01-08
0.261625,0.32304166666666667,0.38237499999999996,2010-01-09
0.2582083333333333,0.32104166666666667,0.380625,2010-01-10
0.255,0.31904166666666667,0.37958333333333333,2010-01-11
0.26825000000000004,0.31754166666666667,0.378625,2010-01-12
0.27345833333333336,0.31604166666666667,0.3775833333333333,2010-01-13
0.26895833333333335,0.3145,0.3765833333333333,2010-01-14
0.2651666666666667,0.313,0.3755833333333333,2010-01-15
0.261375,0.31154166666666666,0.3745416666666667,2010-01-16
0.258,0.310125,0.37354166666666666,2010-01-17
0.25475,0.3085833333333333,0.3725416666666667,2010-01-18
0.251625,0.30716666666666664,0.3715,2010-01-19
0.24866666666666667,0.3055833333333333,0.370125,2010-01-20
0.24566666666666667,0.30416666666666664,0.3685833333333333,2010-01-21
0.243125,0.3025833333333333,0.36754166666666666,2010-01-22
0.24104166666666668,0.30120833333333336,0.3665,2010-01-23
0.23891666666666667,0.29991666666666666,0.36504166666666665,2010-01-24
0.2370833333333333,0.29854166666666665,0.36354166666666665,2010-01-25
0.23558333333333334,0.2975,0.3625,2010-01-26
0.23454166666666665,0.2960833333333333,0.36104166666666665,2010-01-27
0.23354166666666668,0.29462499999999997,0.35954166666666665,2010-01-28
0.232625,0.2935833333333333,0.3585,2010-01-29
0.232,0.2925833333333333,0.35704166666666665,2010-01-30
0.231625,0.2915833333333333,0.3555833333333333,2010-01-31
0.231,0.2907083333333333,0.3545416666666667,2010-02-01
0.23154166666666667,0.290375,0.35354166666666664,2010-02-02
0.232,0.28954166666666664,0.3525416666666667,2010-02-03
0.23145833333333335,0.289,0.3515,2010-02-04
0.231,0.28841666666666665,0.3505,2010-02-05
0.231,0.28754166666666664,0.34904166666666664,2010-02-06
0.2305,0.2866666666666666,0.34754166666666664,2010-02-07
0.23,0.286,0.3465,2010-02-08
0.2324166666666667,0.28562499999999996,0.34545833333333326,2010-02-09
0.23408333333333334,0.285,0.3444583333333333,2010-02-10
0.25066666666666665,0.285,0.34354166666666663,2010-02-11
0.2731666666666667,0.285,0.343,2010-02-12
0.273,0.28454166666666664,0.34245833333333336,2010-02-13
0.26737500000000003,0.284,0.3415000000000001,2010-02-14
0.26054166666666667,0.284,0.34045833333333336,2010-02-15
0.2542083333333333,0.2835,0.33916666666666667,2010-02-16
0.24879166666666666,0.283,0.3379166666666667,2010-02-17
0.244125,0.283,0.336625,2010-02-18
0.24058333333333334,0.2825,0.33558333333333334,2010-02-19
0.23754166666666665,0.282,0.3345416666666667,2010-02-20
0.23504166666666668,0.282,0.3335000000000001,2010-02-21
0.23345833333333335,0.28154166666666663,0.3324166666666667,2010-02-22
0.2325,0.281,0.3315,2010-02-23
0.2315,0.281,0.33045833333333335,2010-02-24
0.23070833333333332,0.281,0.329125,2010-02-25
0.23,0.2806666666666667,0.327625,2010-02-26
0.23,0.28,0.32658333333333334,2010-02-27
0.23,0.28,0.3255416666666667,2010-02-28
0.23,0.28,0.32416666666666666,2010-03-01
0.2295,0.28,0.323,2010-03-02
0.229,0.28,0.32158333333333333,2010-03-03
0.229,0.2797083333333334,0.32058333333333333,2010-03-04
0.229,0.279,0.31958333333333333,2010-03-05
0.229,0.279,0.31858333333333333,2010-03-06
0.229,0.279,0.31758333333333333,2010-03-07
0.229,0.279,0.316625,2010-03-08
0.229,0.279,0.3156666666666667,2010-03-09
0.229,0.279,0.31475000000000003,2010-03-10
0.22987500000000002,0.279,0.3142916666666667,2010-03-11
0.23216666666666666,0.279,0.31345833333333334,2010-03-12
0.231375,0.279,0.3125,2010-03-13
0.23033333333333336,0.279,0.3115,2010-03-14
0.23,0.279,0.3105,2010-03-15
0.22954166666666667,0.279,0.3095,2010-03-16
0.229,0.279,0.3085,2010-03-17
0.229,0.279,0.30754166666666666,2010-03-18
0.229,0.279,0.30654166666666666,2010-03-19
0.229,0.27858333333333335,0.3055833333333333,2010-03-20
0.229,0.278,0.3045833333333333,2010-03-21
0.229,0.278,0.303625,2010-03-22
0.229,0.278,0.30266666666666664,2010-03-23
0.229,0.278,0.302,2010-03-24
0.229,0.278,0.30145833333333333,2010-03-25
0.229,0.278,0.30054166666666665,2010-03-26
0.229,0.278,0.2996666666666667,2010-03-27
0.229,0.278,0.29904166666666665,2010-03-28
0.229,0.278,0.2985,2010-03-29
0.229,0.278,0.2976666666666667,2010-03-30
0.229,0.278,0.2970833333333333,2010-03-31
0.229,0.278,0.29662499999999997,2010-04-01
0.229,0.278,0.296,2010-04-02
0.229,0.278,0.29562499999999997,2010-04-03
0.229,0.278,0.295,2010-04-04
0.229,0.278,0.2945833333333333,2010-04-05
0.229,0.278,0.294,2010-04-06
0.229,0.278,0.2935,2010-04-07
0.229,0.278,0.293,2010-04-08
0.229,0.278,0.29254166666666664,2010-04-09
0.229,0.278,0.292,2010-04-10
0.229,0.27708333333333335,0.29175,2010-04-11
0.229,0.277,0.29141666666666666,2010-04-12
0.229,0.277,0.291,2010-04-13
0.229,0.277,0.2905,2010-04-14
0.229,0.277,0.29,2010-04-15
0.229,0.277,0.28954166666666664,2010-04-16
0.229,0.277,0.289,2010-04-17
0.229,0.277,0.2886666666666666,2010-04-18
0.229,0.277,0.28841666666666665,2010-04-19
0.229,0.277,0.288,2010-04-20
0.229,0.277,0.288,2010-04-21
0.229,0.277,0.2875833333333333,2010-04-22
0.229,0.277,0.287,2010-04-23
0.229,0.277,0.287,2010-04-24
0.229,0.277,0.287,2010-04-25
0.229,0.277,0.2865,2010-04-26
0.229,0.277,0.286,2010-04-27
0.229,0.277,0.286,2010-04-28
0.22866666666666668,0.277,0.286,2010-04-29
0.22875,0.27695833333333336,0.2855,2010-04-30
0.229,0.276,0.285,2010-05-01
0.229,0.276,0.285,2010-05-02
0.229,0.276,0.285,2010-05-03
0.23708333333333334,0.276,0.285,2010-05-04
0.24520833333333333,0.276,0.285,2010-05-05
0.23679166666666665,0.276,0.285,2010-05-06
0.23254166666666667,0.276,0.28454166666666664,2010-05-07
0.2305,0.276,0.284,2010-05-08
0.22966666666666669,0.276,0.284,2010-05-09
0.229,0.276,0.284,2010-05-10
0.229,0.276,0.284,2010-05-11
0.229,0.276,0.284,2010-05-12
0.229,0.276,0.28354166666666664,2010-05-13
0.229,0.276,0.283,2010-05-14
0.229,0.276,0.283,2010-05-15
0.229,0.276,0.283,2010-05-16
0.229,0.276,0.283,2010-05-17
0.228625,0.276,0.283,2010-05-18
0.22820833333333335,0.276,0.283,2010-05-19
0.228,0.276,0.2827916666666666,2010-05-20
0.228,0.2754166666666667,0.2825,2010-05-21
0.228,0.275,0.282,2010-05-22
0.228,0.275,0.282,2010-05-23
0.228,0.275,0.282,2010-05-24
0.228,0.275,0.282,2010-05-25
0.228,0.275,0.282,2010-05-26
0.228,0.275,0.282,2010-05-27
0.228,0.275,0.282,2010-05-28
0.228,0.275,0.282,2010-05-29
0.228,0.275,0.282,2010-05-30
0.228,0.275,0.282,2010-05-31
0.228,0.275,0.282,2010-06-01
0.228,0.275,0.282,2010-06-02
0.22908333333333333,0.275,0.282,2010-06-03
0.230375,0.275,0.282,2010-06-04
0.22987500000000002,0.275,0.282,2010-06-05
0.229,0.275,0.282,2010-06-06
0.22929166666666667,0.275,0.282,2010-06-07
0.23,0.275,0.282,2010-06-08
0.2295,0.275,0.282,2010-06-09
0.229,0.275,0.282,2010-06-10
0.229,0.27429166666666666,0.28170833333333334,2010-06-11
0.229,0.274,0.2814583333333333,2010-06-12
0.229,0.274,0.281,2010-06-13
0.23154166666666667,0.274,0.281,2010-06-14
0.25904166666666667,0.274,0.281,2010-06-15
0.4566666666666667,0.29525,0.281,2010-06-16
0.4355833333333334,0.31379166666666664,0.2816666666666667,2010-06-17
0.3938333333333333,0.3185,0.282,2010-06-18
0.3501666666666667,0.31483333333333335,0.282,2010-06-19
0.3187083333333333,0.31016666666666665,0.282,2010-06-20
0.30283333333333334,0.30616666666666664,0.282,2010-06-21
0.29204166666666664,0.3022916666666667,0.282,2010-06-22
0.2811666666666667,0.298625,0.282,2010-06-23
0.2751666666666667,0.29562499999999997,0.282,2010-06-24
0.2718333333333333,0.2930833333333333,0.282,2010-06-25
0.29524999999999996,0.2910833333333333,0.282,2010-06-26
0.31504166666666666,0.2894583333333333,0.282,2010-06-27
0.46379166666666666,0.3624583333333333,0.282,2010-06-28
0.43745833333333334,0.38008333333333333,0.282,2010-06-29
0.39079166666666665,0.37395833333333334,0.282,2010-06-30
0.38195833333333334,0.3665833333333333,0.28220833333333334,2010-07-01
0.44687499999999997,0.36674999999999996,0.283,2010-07-02
0.43570833333333336,0.4287916666666667,0.28320833333333334,2010-07-03
0.4761666666666666,0.46025,0.28554166666666664,2010-07-04
0.4905,0.4723333333333333,0.2897083333333333,2010-07-05
0.49374999999999997,0.4715,0.2939583333333333,2010-07-06
0.492875,0.4819583333333333,0.298875,2010-07-07
0.500125,0.4895,0.308875,2010-07-08
0.4830833333333333,0.4775416666666667,0.3153333333333333,2010-07-09
0.46091666666666664,0.4626666666666667,0.31879166666666664,2010-07-10
0.46725,0.45295833333333335,0.320625,2010-07-11
0.4654583333333333,0.4522916666666667,0.322375,2010-07-12
0.44175000000000003,0.44287499999999996,0.323625,2010-07-13
0.42366666666666664,0.43274999999999997,0.324,2010-07-14
0.473875,0.45012499999999994,0.3252916666666667,2010-07-15
0.45766666666666667,0.47974999999999995,0.3465416666666667,2010-07-16
0.4875416666666667,0.47124999999999995,0.35283333333333333,2010-07-17
0.4796666666666667,0.46575000000000005,0.3549166666666666,2010-07-18
0.4680416666666667,0.4638333333333334,0.35674999999999996,2010-07-19
0.4519166666666667,0.4527083333333333,0.35791666666666666,2010-07-20
0.482875,0.4688333333333334,0.35920833333333335,2010-07-21
0.48216666666666663,0.4876666666666667,0.3640833333333333,2010-07-22
0.494,0.49425,0.3745416666666667,2010-07-23
0.48491666666666666,0.478625,0.37929166666666664,2010-07-24
0.49854166666666666,0.48416666666666663,0.3827083333333334,2010-07-25
0.47608333333333336,0.5000833333333333,0.4163333333333334,2010-07-26
0.4515416666666667,0.4799166666666666,0.45275,2010-07-27
0.4565416666666667,0.4702916666666666,0.452625,2010-07-28
0.4542083333333333,0.462875,0.452,2010-07-29
0.482875,0.480375,0.4535833333333334,2010-07-30
0.47275,0.491625,0.4725,2010-07-31
0.47816666666666663,0.48966666666666664,0.485125,2010-08-01
0.48433333333333334,0.49491666666666667,0.490125,2010-08-02
0.4917916666666667,0.49404166666666666,0.5078333333333334,2010-08-03
0.4965833333333333,0.49875,0.505625,2010-08-04
0.4990833333333333,0.496,0.5020416666666666,2010-08-05
0.49275,0.500125,0.5029583333333333,2010-08-06
0.4686666666666666,0.4559583333333333,0.5096666666666666,2010-08-07
0.4633333333333334,0.4546666666666667,0.501875,2010-08-08
0.46937500000000004,0.4560416666666667,0.4972083333333333,2010-08-09
0.46875,0.45583333333333337,0.49345833333333333,2010-08-10
0.47445833333333337,0.4579583333333333,0.490375,2010-08-11
0.4764583333333334,0.4728333333333334,0.488125,2010-08-12
0.490125,0.49524999999999997,0.48820833333333336,2010-08-13
0.4789583333333333,0.49141666666666667,0.4995,2010-08-14
0.4674583333333333,0.48858333333333337,0.511,2010-08-15
0.4988333333333333,0.48854166666666665,0.509625,2010-08-16
0.48570833333333335,0.4907083333333333,0.505625,2010-08-17
0.4854583333333333,0.48141666666666666,0.5019166666666667,2010-08-18
0.4852083333333333,0.4899166666666666,0.4992916666666667,2010-08-19
0.476375,0.4972083333333333,0.5039166666666667,2010-08-20
0.4716666666666667,0.4769583333333333,0.5065833333333333,2010-08-21
0.4644166666666667,0.4680416666666667,0.5017916666666666,2010-08-22
0.47383333333333333,0.46425000000000005,0.49783333333333335,2010-08-23
0.4619166666666667,0.4602916666666667,0.4944583333333333,2010-08-24
0.48054166666666664,0.46212500000000006,0.49170833333333336,2010-08-25
0.48208333333333336,0.49420833333333336,0.49275,2010-08-26
0.4566666666666667,0.48220833333333335,0.498125,2010-08-27
0.470875,0.47425,0.49541666666666667,2010-08-28
0.4855416666666667,0.48733333333333334,0.497125,2010-08-29
0.4731666666666667,0.47724999999999995,0.5111249999999999,2010-08-30
0.49429166666666663,0.4795,0.5083333333333333,2010-08-31
0.48808333333333337,0.480625,0.504375,2010-09-01
0.48583333333333334,0.4803333333333333,0.5016666666666666,2010-09-02
0.4855833333333333,0.48891666666666667,0.49970833333333337,2010-09-03
0.476625,0.4974166666666667,0.5124166666666666,2010-09-04
0.4506666666666667,0.46729166666666666,0.5149583333333333,2010-09-05
0.47541666666666665,0.4549166666666667,0.50675,2010-09-06
0.4832916666666667,0.479875,0.50225,2010-09-07
0.44179166666666664,0.48245833333333327,0.5102083333333334,2010-09-08
0.4907916666666667,0.4868333333333333,0.5054583333333333,2010-09-09
0.493875,0.4897916666666666,0.5014166666666667,2010-09-10
0.4739583333333333,0.48225,0.4969166666666667,2010-09-11
0.45608333333333334,0.47125,0.49137499999999995,2010-09-12
0.44287499999999996,0.46125,0.4854583333333333,2010-09-13
0.4374166666666666,0.453625,0.47974999999999995,2010-09-14
0.46187500000000004,0.45050000000000007,0.4746666666666666,2010-09-15
0.465875,0.4543333333333333,0.4698333333333333,2010-09-16
0.44179166666666664,0.44908333333333333,0.4648333333333334,2010-09-17
0.4242916666666667,0.44204166666666667,0.4600416666666667,2010-09-18
0.49262500000000004,0.4537083333333334,0.4562083333333333,2010-09-19
0.48608333333333337,0.4990833333333333,0.47150000000000003,2010-09-20
0.45408333333333334,0.48362499999999997,0.49666666666666665,2010-09-21
0.441625,0.467875,0.492375,2010-09-22
0.42758333333333337,0.45587500000000003,0.4875416666666667,2010-09-23
0.415875,0.4458333333333333,0.4825,2010-09-24
0.4038333333333333,0.437,0.4774583333333333,2010-09-25
0.3894583333333333,0.42825,0.4722916666666666,2010-09-26
0.37637499999999996,0.42016666666666663,0.46729166666666666,2010-09-27
0.36341666666666667,0.4124583333333333,0.46216666666666667,2010-09-28
0.3505833333333333,0.40475,0.4572083333333334,2010-09-29
0.33829166666666666,0.39758333333333334,0.4523333333333333,2010-09-30
0.32625,0.39054166666666673,0.447625,2010-10-01
0.31554166666666666,0.38404166666666667,0.4430416666666667,2010-10-02
0.306,0.37795833333333334,0.4387916666666667,2010-10-03
0.297125,0.37162500000000004,0.43445833333333334,2010-10-04
0.28854166666666664,0.36562500000000003,0.4302916666666667,2010-10-05
0.28125,0.36004166666666665,0.42625,2010-10-06
0.2738333333333334,0.35424999999999995,0.42241666666666666,2010-10-07
0.2677916666666667,0.3492916666666666,0.41862499999999997,2010-10-08
0.2622083333333333,0.3446666666666667,0.415375,2010-10-09
0.25695833333333334,0.34008333333333335,0.41162499999999996,2010-10-10
0.2514166666666667,0.335875,0.4084583333333333,2010-10-11
0.24941666666666665,0.3324166666666667,0.4055416666666667,2010-10-12
0.24620833333333333,0.329,0.40266666666666673,2010-10-13
0.2429583333333333,0.32516666666666666,0.39962500000000006,2010-10-14
0.23966666666666667,0.321625,0.396625,2010-10-15
0.23925,0.318875,0.39408333333333334,2010-10-16
0.27033333333333337,0.317,0.392125,2010-10-17
0.28429166666666666,0.3155,0.39045833333333335,2010-10-18
0.301,0.31404166666666666,0.38854166666666673,2010-10-19
0.34841666666666665,0.313375,0.3874166666666667,2010-10-20
0.36504166666666665,0.3133333333333333,0.3857083333333333,2010-10-21
0.34954166666666664,0.3127083333333333,0.38425,2010-10-22
0.33058333333333334,0.3110833333333333,0.3825,2010-10-23
0.314125,0.309625,0.380875,2010-10-24
0.3017916666666666,0.308,0.379,2010-10-25
0.29216666666666663,0.3060833333333333,0.3770833333333334,2010-10-26
0.2830833333333333,0.3045,0.37520833333333337,2010-10-27
0.274625,0.303,0.37354166666666666,2010-10-28
0.2667916666666667,0.3015,0.37195833333333334,2010-10-29
0.26,0.30004166666666665,0.37045833333333333,2010-10-30
0.25366666666666665,0.29854166666666665,0.3685833333333333,2010-10-31
0.248,0.297125,0.367,2010-11-01
0.24362499999999998,0.29562499999999997,0.3655,2010-11-02
0.24029166666666665,0.29454166666666665,0.36395833333333333,2010-11-03
0.23729166666666665,0.2935,0.362125,2010-11-04
0.23516666666666666,0.2925,0.3605416666666667,2010-11-05
0.23354166666666668,0.2915,0.35912499999999997,2010-11-06
0.23258333333333336,0.2905,0.3578333333333333,2010-11-07
0.23204166666666667,0.28962499999999997,0.3565416666666667,2010-11-08
0.23270833333333332,0.289,0.3555833333333333,2010-11-09
0.23312500000000003,0.2885833333333333,0.3545833333333333,2010-11-10
0.26687500000000003,0.288,0.3539999999999999,2010-11-11
0.33937500000000004,0.288,0.35354166666666664,2010-11-12
0.36175,0.289,0.353,2010-11-13
0.39958333333333335,0.29275,0.3525833333333333,2010-11-14
0.3797916666666667,0.29504166666666665,0.35200000000000004,2010-11-15
0.3785,0.2967083333333333,0.35154166666666664,2010-11-16
0.35670833333333335,0.297,0.35074999999999995,2010-11-17
0.3421666666666667,0.297,0.35041666666666665,2010-11-18
0.33475000000000005,0.29662499999999997,0.3499999999999999,2010-11-19
0.325375,0.2964583333333333,0.3495,2010-11-20
0.3114166666666667,0.2955,0.3485833333333333,2010-11-21
0.30154166666666665,0.2945833333333333,0.34800000000000003,2010-11-22
0.29612499999999997,0.294,0.34800000000000003,2010-11-23
0.2889583333333333,0.29362499999999997,0.34745833333333326,2010-11-24
0.32004166666666667,0.2930833333333333,0.347,2010-11-25
0.3794583333333333,0.2947083333333333,0.34674999999999995,2010-11-26
0.3786666666666667,0.29616666666666663,0.3465,2010-11-27
0.3927083333333334,0.2987083333333333,0.3459999999999999,2010-11-28
0.38070833333333337,0.3007916666666666,0.3459999999999999,2010-11-29
0.36637499999999995,0.3016666666666667,0.3459999999999999,2010-11-30
0.35083333333333333,0.30154166666666665,0.34554166666666664,2010-12-01
0.3421666666666667,0.301,0.345,2010-12-02
0.333125,0.300625,0.345,2010-12-03
0.31995833333333334,0.2997083333333333,0.3445,2010-12-04
0.30791666666666667,0.299375,0.34400000000000003,2010-12-05
0.2977083333333333,0.298375,0.34345833333333337,2010-12-06
0.2889583333333333,0.29741666666666666,0.34287500000000004,2010-12-07
0.2829583333333333,0.2965,0.3425,2010-12-08
0.2787083333333334,0.296,0.342,2010-12-09
0.2744166666666667,0.2954583333333333,0.342,2010-12-10
0.2687083333333334,0.2945,0.34145833333333336,2010-12-11
0.26329166666666665,0.2935,0.3405833333333334,2010-12-12
0.2589166666666667,0.2925833333333333,0.34,2010-12-13
0.254625,0.2916666666666667,0.3395416666666667,2010-12-14
0.2511666666666667,0.291,0.339,2010-12-15
0.24783333333333335,0.2905,0.3385,2010-12-16
0.24508333333333332,0.2895833333333333,0.3376666666666667,2010-12-17
0.24266666666666667,0.289,0.33745833333333336,2010-12-18
0.24029166666666665,0.2884583333333333,0.3365833333333334,2010-12-19
0.23854166666666665,0.2876666666666667,0.336,2010-12-20
0.2370833333333333,0.287,0.3355416666666667,2010-12-21
0.23558333333333334,0.2865833333333333,0.33475000000000005,2010-12-22
0.23454166666666665,0.286,0.33445833333333336,2010-12-23
0.23358333333333334,0.2855833333333333,0.33358333333333334,2010-12-24
0.233,0.285,0.333,2010-12-25
0.2324166666666667,0.285,0.3325416666666667,2010-12-26
0.232,0.284375,0.33187500000000003,2010-12-27
0.231375,0.284,0.33145833333333335,2010-12-28
0.231,0.2835833333333333,0.33058333333333334,2010-12-29
0.231,0.283,0.33,2010-12-30
0.24004166666666668,0.283,0.33,2010-12-31
0.24062499999999998,0.283,0.32958333333333334,2011-01-01
0.239,0.283,0.3292083333333334,2011-01-02
0.23749999999999996,0.2824583333333333,0.32895833333333335,2011-01-03
0.236125,0.282,0.3285,2011-01-04
0.23483333333333334,0.282,0.328,2011-01-05
0.23404166666666668,0.282,0.3275416666666667,2011-01-06
0.2335,0.282,0.327,2011-01-07
0.232625,0.2814583333333333,0.32658333333333334,2011-01-08
0.232,0.281,0.326,2011-01-09
0.23158333333333334,0.281,0.32558333333333334,2011-01-10
0.231,0.281,0.325,2011-01-11
0.231,0.281,0.3245416666666667,2011-01-12
0.23058333333333336,0.2806666666666667,0.32379166666666664,2011-01-13
0.23,0.28,0.32345833333333335,2011-01-14
0.23,0.28,0.322625,2011-01-15
0.23,0.28,0.32216666666666666,2011-01-16
0.23,0.28,0.32158333333333333,2011-01-17
0.23,0.28,0.321,2011-01-18
0.23,0.28,0.32054166666666667,2011-01-19
0.23,0.28,0.32,2011-01-20
0.23,0.28,0.31954166666666667,2011-01-21
0.23,0.279625,0.319,2011-01-22
0.23,0.279,0.3185,2011-01-23
