time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,dewpoint_2m_max,dewpoint_2m_min,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,et0_fao_evapotranspiration,shortwave_radiation_sum,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,soil_moisture_28_to_100cm,humidity_approx,soil_saturation
2010-01-01,21.7,8.6,14.7,8.8,4.6,9.8,24.1,86,3.22,17.28,0.2985833333333333,0.34158333333333335,0.3915416666666667,35.5,0.32008333333333333
2010-01-02,22.7,9.5,15.5,9.5,5.2,11.1,23.0,87,3.21,16.63,0.29216666666666663,0.3390416666666667,0.39045833333333335,34.0,0.3156041666666667
2010-01-03,25.0,11.4,17.9,13.1,6.5,11.5,16.6,76,3.2,15.84,0.28633333333333333,0.33645833333333336,0.389125,40.5,0.3113958333333333
2010-01-04,22.7,12.7,17.4,12.4,9.4,12.9,29.5,8,3.21,16.47,0.28070833333333334,0.33404166666666674,0.38762500000000005,48.50000000000001,0.30737500000000006
2010-01-05,21.5,9.4,15.1,10.3,6.2,10.5,25.2,357,3.16,17.42,0.27625000000000005,0.331625,0.38658333333333333,44.0,0.3039375
2010-01-06,21.5,7.6,14.4,8.3,6.2,9.2,20.9,43,3.13,17.56,0.27225000000000005,0.329125,0.38554166666666667,34.0,0.3006875
2010-01-07,21.9,8.5,14.8,7.8,5.8,11.3,26.3,72,3.2,17.67,0.26829166666666665,0.32708333333333334,0.3845,29.500000000000014,0.2976875
2010-01-08,22.3,7.8,15.0,9.1,6.5,8.7,16.9,51,3.15,17.51,0.264875,0.3250416666666667,0.3835,34.0,0.2949583333333333
2010-01-09,23.3,9.0,16.1,10.1,7.8,9.1,18.0,64,3.11,17.23,0.261625,0.32304166666666667,0.38237499999999996,34.0,0.29233333333333333
2010-01-10,24.6,10.4,17.2,11.3,9.2,8.9,20.5,76,3.19,17.09,0.2582083333333333,0.32104166666666667,0.380625,33.5,0.289625
2010-01-11,25.4,12.1,18.6,13.2,10.3,9.0,22.0,80,3.15,15.96,0.255,0.31904166666666667,0.37958333333333333,39.0,0.28702083333333334
2010-01-12,25.8,15.4,19.8,17.5,12.4,14.1,32.8,137,2.71,13.04,0.26825000000000004,0.31754166666666667,0.378625,58.5,0.29289583333333336
2010-01-13,24.1,14.9,19.3,17.2,9.5,13.6,28.4,297,3.46,17.07,0.27345833333333336,0.31604166666666667,0.3775833333333333,65.49999999999999,0.29475
2010-01-14,20.5,11.5,15.7,12.3,9.1,12.0,27.7,33,2.97,17.38,0.26895833333333335,0.3145,0.3765833333333333,59.0,0.2917291666666667
2010-01-15,21.2,9.0,15.0,10.0,8.1,8.8,20.5,47,3.07,17.89,0.2651666666666667,0.313,0.3755833333333333,44.0,0.28908333333333336
2010-01-16,21.7,9.0,15.1,10.0,7.9,9.4,21.2,50,3.05,17.39,0.261375,0.31154166666666666,0.3745416666666667,41.5,0.28645833333333337
2010-01-17,22.6,8.7,15.4,10.0,7.5,9.7,22.7,58,3.11,16.87,0.258,0.310125,0.37354166666666666,36.99999999999999,0.2840625
2010-01-18,23.4,8.2,15.5,10.2,5.6,10.1,19.8,56,3.41,18.4,0.25475,0.3085833333333333,0.3725416666666667,34.0,0.2816666666666666
2010-01-19,23.9,8.4,15.8,9.1,4.2,10.2,20.9,56,3.56,18.58,0.251625,0.30716666666666664,0.3715,26.0,0.2793958333333333
2010-01-20,24.7,9.0,16.5,9.6,4.6,10.2,19.8,69,3.66,18.59,0.24866666666666667,0.3055833333333333,0.370125,24.5,0.277125
2010-01-21,24.6,9.1,16.6,9.1,3.1,10.7,18.4,56,3.77,18.64,0.24566666666666667,0.30416666666666664,0.3685833333333333,22.499999999999986,0.27491666666666664
2010-01-22,25.1,9.4,17.0,9.4,2.8,10.4,19.4,84,3.69,18.71,0.243125,0.3025833333333333,0.36754166666666666,21.5,0.2728541666666667
2010-01-23,25.9,10.1,17.8,9.1,3.2,10.0,17.3,86,3.91,18.77,0.24104166666666668,0.30120833333333336,0.3665,16.000000000000014,0.271125
2010-01-24,26.2,11.2,18.5,8.4,3.2,10.4,20.9,134,3.87,18.67,0.23891666666666667,0.29991666666666666,0.36504166666666665,11.000000000000014,0.26941666666666664
2010-01-25,26.6,11.1,18.7,9.6,5.2,10.5,20.9,107,3.92,18.32,0.2370833333333333,0.29854166666666665,0.36354166666666665,15.0,0.2678125
2010-01-26,26.0,12.0,19.1,10.6,6.5,9.7,24.1,84,3.91,18.49,0.23558333333333334,0.2975,0.3625,23.0,0.2665416666666667
2010-01-27,25.8,13.2,19.4,9.0,5.8,12.1,29.2,104,4.17,18.78,0.23454166666666665,0.2960833333333333,0.36104166666666665,16.0,0.26531249999999995
2010-01-28,26.0,13.5,19.6,8.4,5.0,12.0,29.5,110,4.23,18.82,0.23354166666666668,0.29462499999999997,0.35954166666666665,12.0,0.26408333333333334
2010-01-29,26.6,13.5,19.8,9.1,5.3,9.8,23.8,119,4.3,18.73,0.232625,0.2935833333333333,0.3585,12.5,0.26310416666666664
2010-01-30,26.9,14.5,20.8,12.5,5.8,9.3,19.4,27,3.92,18.36,0.232,0.2925833333333333,0.35704166666666665,28.0,0.26229166666666665
2010-01-31,26.9,13.3,20.4,11.9,5.3,10.0,22.7,169,4.2,18.74,0.231625,0.2915833333333333,0.3555833333333333,25.000000000000014,0.26160416666666664
2010-02-01,26.5,13.9,20.5,11.7,6.8,9.9,24.8,237,3.71,15.68,0.231,0.2907083333333333,0.3545416666666667,26.0,0.26085416666666666
2010-02-02,25.5,14.5,19.7,11.7,9.4,10.3,22.7,54,3.26,14.16,0.23154166666666667,0.290375,0.35354166666666664,31.0,0.26095833333333335
