time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,dewpoint_2m_max,dewpoint_2m_min,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,et0_fao_evapotranspiration,shortwave_radiation_sum
2010-01-01,21.7,8.6,14.7,8.8,4.6,9.8,24.1,86,3.22,17.28
2010-01-02,22.7,9.5,15.5,9.5,5.2,11.1,23.0,87,3.21,16.63
2010-01-03,25.0,11.4,17.9,13.1,6.5,11.5,16.6,76,3.2,15.84
2010-01-04,22.7,12.7,17.4,12.4,9.4,12.9,29.5,8,3.21,16.47
2010-01-05,21.5,9.4,15.1,10.3,6.2,10.5,25.2,357,3.16,17.42
2010-01-06,21.5,7.6,14.4,8.3,6.2,9.2,20.9,43,3.13,17.56
2010-01-07,21.9,8.5,14.8,7.8,5.8,11.3,26.3,72,3.2,17.67
2010-01-08,22.3,7.8,15.0,9.1,6.5,8.7,16.9,51,3.15,17.51
2010-01-09,23.3,9.0,16.1,10.1,7.8,9.1,18.0,64,3.11,17.23
2010-01-10,24.6,10.4,17.2,11.3,9.2,8.9,20.5,76,3.19,17.09
2010-01-11,25.4,12.1,18.6,13.2,10.3,9.0,22.0,80,3.15,15.96
2010-01-12,25.8,15.4,19.8,17.5,12.4,14.1,32.8,137,2.71,13.04
2010-01-13,24.1,14.9,19.3,17.2,9.5,13.6,28.4,297,3.46,17.07
2010-01-14,20.5,11.5,15.7,12.3,9.1,12.0,27.7,33,2.97,17.38
2010-01-15,21.2,9.0,15.0,10.0,8.1,8.8,20.5,47,3.07,17.89
2010-01-16,21.7,9.0,15.1,10.0,7.9,9.4,21.2,50,3.05,17.39
2010-01-17,22.6,8.7,15.4,10.0,7.5,9.7,22.7,58,3.11,16.87
2010-01-18,23.4,8.2,15.5,10.2,5.6,10.1,19.8,56,3.41,18.4
2010-01-19,23.9,8.4,15.8,9.1,4.2,10.2,20.9,56,3.56,18.58
2010-01-20,24.7,9.0,16.5,9.6,4.6,10.2,19.8,69,3.66,18.59
2010-01-21,24.6,9.1,16.6,9.1,3.1,10.7,18.4,56,3.77,18.64
2010-01-22,25.1,9.4,17.0,9.4,2.8,10.4,19.4,84,3.69,18.71
2010-01-23,25.9,10.1,17.8,9.1,3.2,10.0,17.3,86,3.91,18.77
2010-01-24,26.2,11.2,18.5,8.4,3.2,10.4,20.9,134,3.87,18.67
2010-01-25,26.6,11.1,18.7,9.6,5.2,10.5,20.9,107,3.92,18.32
2010-01-26,26.0,12.0,19.1,10.6,6.5,9.7,24.1,84,3.91,18.49
2010-01-27,25.8,13.2,19.4,9.0,5.8,12.1,29.2,104,4.17,18.78
2010-01-28,26.0,13.5,19.6,8.4,5.0,12.0,29.5,110,4.23,18.82
2010-01-29,26.6,13.5,19.8,9.1,5.3,9.8,23.8,119,4.3,18.73
2010-01-30,26.9,14.5,20.8,12.5,5.8,9.3,19.4,27,3.92,18.36
2010-01-31,26.9,13.3,20.4,11.9,5.3,10.0,22.7,169,4.2,18.74
2010-02-01,26.5,13.9,20.5,11.7,6.8,9.9,24.8,237,3.71,15.68
2010-02-02,25.5,14.5,19.7,11.7,9.4,10.3,22.7,54,3.26,14.16
2010-02-03,26.2,15.0,20.5,11.0,6.7,11.9,30.6,59,3.97,17.01
2010-02-04,25.6,14.7,19.8,10.4,6.0,11.7,26.3,82,3.87,17.41
2010-02-05,26.4,12.9,19.6,11.6,6.3,10.2,24.5,77,4.04,19.31
2010-02-06,28.0,13.1,20.4,9.5,3.4,10.7,20.9,100,4.61,19.78
2010-02-07,29.0,13.7,21.3,13.4,5.7,10.8,23.8,138,4.5,19.85
2010-02-08,29.5,14.9,22.6,13.0,9.5,12.8,29.5,195,4.64,18.22
2010-02-09,28.2,19.4,23.0,14.0,10.3,17.6,39.2,228,4.38,16.84
2010-02-10,26.6,15.4,21.1,12.9,7.5,11.8,20.2,337,4.14,18.68
2010-02-11,23.6,16.4,19.8,17.3,11.9,13.0,32.0,52,2.67,13.37
2010-02-12,26.8,16.5,21.1,17.7,16.1,12.3,29.2,42,3.52,17.82
2010-02-13,26.3,16.5,21.0,17.0,14.5,11.6,23.4,42,3.75,18.5
2010-02-14,27.3,15.3,21.0,15.0,12.5,12.6,27.0,61,4.03,19.77
2010-02-15,28.6,16.4,21.9,14.3,9.8,16.5,36.4,164,4.54,18.53
2010-02-16,28.7,15.8,22.0,12.1,8.3,11.2,24.1,270,4.85,20.73
2010-02-17,27.1,15.7,21.0,15.1,4.9,10.5,27.7,20,4.59,21.05
2010-02-18,26.4,13.3,19.3,7.7,2.8,10.5,24.5,3,4.8,21.72
2010-02-19,27.5,11.3,19.3,7.0,1.5,11.0,23.0,38,4.86,21.68
2010-02-20,29.6,11.9,20.7,8.9,2.7,10.7,20.5,55,4.93,21.97
2010-02-21,30.5,13.2,22.0,10.4,3.1,9.8,19.8,73,4.93,21.79
2010-02-22,29.2,18.2,23.1,11.6,6.6,13.6,29.5,166,4.33,12.78
2010-02-23,31.1,19.3,24.4,12.3,4.5,18.8,41.0,259,5.84,20.18
2010-02-24,28.7,16.1,22.2,9.5,5.1,10.7,22.0,297,4.99,22.13
2010-02-25,29.5,17.8,23.4,14.5,6.7,11.0,15.8,19,4.6,22.08
2010-02-26,30.3,15.7,23.0,11.4,7.1,10.5,23.0,67,5.2,22.13
2010-02-27,32.0,16.0,24.5,12.0,6.1,9.7,20.9,93,5.26,22.38
2010-02-28,33.3,17.3,25.0,10.1,4.2,11.0,24.1,261,5.77,22.63
2010-03-01,33.8,17.3,25.4,8.8,1.8,14.5,31.3,274,6.18,23.03
2010-03-02,33.6,19.0,25.9,7.0,2.7,14.5,32.0,282,6.59,22.78
2010-03-03,33.4,20.9,26.7,9.1,5.3,20.9,41.0,273,6.89,21.13
2010-03-04,32.9,20.4,26.4,11.2,7.5,13.4,28.1,261,6.16,21.85
2010-03-05,31.8,20.2,26.0,12.9,8.2,13.2,29.9,319,6.01,22.78
